"","t.1","t.2","t.3","t.4","t.5","t.6","t.7","t.8","t.9","t.10","t.11","t.12","t.13","t.14","t.15","t.16","t.17","t.18","t.19","t.20","t.21","t.22","t.23","t.24","t.25","t.26","t.27","t.28","t.29","t.30","t.31","t.32","t.33","t.34","t.35","t.36","t.37","t.38","t.39","t.40","t.41","t.42","t.43","t.44","t.45","t.46","t.47","t.48","t.49","t.50","t.51","t.52","t.53","t.54","t.55","t.56","t.57","t.58","t.59","t.60","t.61","t.62","t.63","t.64","t.65","t.66","t.67","t.68","t.69","t.70","t.71","t.72","t.73","t.74","t.75","t.76","t.77","t.78","t.79","t.80"
"13185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10441782067995,0,0,0,0,0,0,0,0,0,0,0,0,0.204819185174654,0,0.365461368366181,0,0,0,0,0,0,0.120482038999103,0,0,0,0,0,0,0,0,0,0,0,0,0.076305438621433,0.128514148158679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526323176342518,0,0.0789480378560407,0.868419644509707,0,0,0
"13539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376175390375686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184953059619988,0,0,0,0,0,0,0,0,0,0,0.379310182683157,0,0,0,0,0,0,0,0,0,0.0595613673211695,0
"12882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628935524690504,0,0,0,0,0.0628935524690504,0,0,0,0,0,0,0,0,0,0,0.333333123690255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540879771371644,0,0,0,0,0,0,0,0,0,0,0
"11862",0,0,0,0,0,0.0819680462159389,0,0,0,0,0,0,0,0.114754608971059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19672101585886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459013517899824,0,0,0,0,0,0,0,0,0.0655747648383786,0,0,0.0819680462159389,0
"10521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534759196717222,0.29679147316192,0,0,0,0,0,0.168449330120858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134146624032624,0,0,0,0,0.146341716239716,0,0,0,0,0,0,0,0,0,0,0.274390184414184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445121475313475,0,0,0,0,0,0,0,0,0,0,0
"11915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411763321823733,0.352940830455933,0,0,0,0,0,0,0,0,0,0.235295847720334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13349",0,0,0,0,0,0.0555567901097395,0,0,0,0,0,0,0,0,0,0,0.277776543223594,0,0,0,0,0,0.148148353907179,0,0.0555567901097395,0,0,0,0,0,0,0,0.370368107021033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925934156287152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647058650519235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941349480765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952383446706079,0.204761893424063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952383446706079,0,0.514284965988176,0,0,0.0904764512465446,0
"12591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752213603256279,0,0.407079326885849,0.123893862087794,0,0,0,0,0,0.247787502936943,0,0,0,0,0,0,0.0730089738818931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730089738818931,0,0,0,0,0,0
