"Id","topic","Label","tt_prime","tt_raw","coherence","prevalence"
"t.1","t.1","land","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point",0.39,1.24138894139062
"t.2","t.2","business","subcontracting, vocational, handicapped, women, disadvantaged, toll, fare, small, minority, aspiration","business, veteran, small, disability, employment, women, administration, administrator, enterprise, affair",0.09,0.653530960614534
"t.3","t.3","reserve","disperse, enlistment, ready, relieved, dispersed, geodetic, petty, clothing, guard, recalled","reserve, guard, coast, active, force, duty, member, armed, navy, service",0.35,1.43125084105106
"t.4","t.4","price","ceiling, stabilize, freeze, rent, stabilization, specify, price, wage, inflation, dividend","price, stabilization, economy, wage, cost, salary, increase, litigation, adjustment, living",0.2,0.643198256346558
"t.5","t.5","duty","aerial, ashore, messing, submarine, ration, meal, competent, fraction, ratio, unavailability","duty, member, pay, period, flight, regulation, month, quarter, entitled, required",0.13,1.0599821692352
"t.6","t.6","information","declassified, downgrading, downgraded, requester, downgrade, originator, declassifying, embarrassment, declassification, reproduced","information, agency, classified, classification, security, access, national, material, declassification, head",0.18,0.575381371645189
"t.7","t.7","seal","coat, argent, edged, encircled, scroll, dark, sinister, hoist, azure, dexter","seal, proclamation, flag, work, design, made, hour, blue, national, official",0.11,0.975578122216045
"t.8","t.8","export","uranium, propulsion, weapon, decontrol, crude, enriched, disarmament, mass, reactor, renewal","control, nuclear, export, weapon, doe, chemical, arm, pursuant, foreign, energy",0.13,0.912585751777148
"t.9","t.9","retirement","reef, habitat, mammal, beauty, aquatic, magnuson, wilderness, treasure, steven, recreational","retirement, resource, area, wildlife, environment, public, conservation, national, species, recreation",0.21,1.20608592649907
"t.10","t.10","officer","brigadier, presiding, totally, surgeon, specialty, aggravated, junior, presumption, candidate, roll","officer, corp, service, grade, board, general, promotion, sec, examination, sect",0.12,0.825875639237521
"t.11","t.11","frac","bankhead, jone, exterior, grazing, frac, meridian, tenant, ouachita, forest, fractional","sec, frac, inclusive, land, forest, national, part, lot, stat, lying",0.19,0.676847506423336
"t.12","t.12","space","flood, housing, stipulated, redevelopment, architectural, construction, census, space, fire, locating","housing, project, construction, work, building, space, area, agency, facility, administrator",0.14,0.761437694669104
"t.13","t.13","judge","rape, wanton, wrongful, reckless, aggravating, bodily, discredit, murder, assault, gram","subsection, child, judge, paragraph, accused, person, amendment, article, conduct, death",0.23,0.252480935445108
"t.14","t.14","function","unexpended, abolition, winding, surplus, liquidation, reassigned, wind, transferred, balance, reconversion","function, transferred, director, office, administrator, transfer, administration, property, war, record",0.11,2.188183500875
"t.15","t.15","schedule","cutoff, clemente, aging, biscayne, teletype, placing, calif, sport, fla, fitness","note, release, code, level, press, title, schedule, position, form, johnson",0.16,2.69522119598536
"t.16","t.16","medal","posthumously, persian, expeditionary, posthumous, suitably, heart, badge, medal, ribbon, meritorious","service, medal, award, armed, force, awarded, regulation, dod, member, person",0.25,1.35414307950765
"t.17","t.17","office","ronaldreagan, jimmycarter, filed, cuban, register, desert, deadline, renamed, georgewbush, typographical","office, register, america, filed, constitution, note, code, title, december, ronaldreagan",0.22,3.94265977361764
"t.18","t.18","education","hispanic, islander, elementary, childhood, philanthropic, postsecondary, excellence, historically, faculty, university","education, university, american, school, program, doed, initiative, student, agency, secretary",0.19,0.736547554253058
"t.19","t.19","registrant","conscientiously, anew, postponed, reopen, sss, postponement, mailing, disqualifying, triplicate, mail","registrant, board, form, local, sss, induction, force, armed, report, service",0.36,0.451309138699293
"t.20","t.20","company","needful, mesne, swift, recital, impeded, refining, interruption, towing, sinking, plant","facility, plant, war, operation, transportation, located, possession, york, system, company",0.13,0.956400480530883
"t.21","t.21","property","algeria, acquittance, intervene, barred, normalization, philippine, constitutionally, compelled, popular, hostage","doj, property, alien, national, government, philippine, privilege, power, record, claim",0.13,0.825220759625624
"t.22","t.22","chairman","council, composing, consumer, promotional, deliberation, nutrition, forum, cochairmen, chairperson, governmentwide","council, policy, chairman, economy, director, function, member, secretary, established, consumer",0.26,1.67478386692543
"t.23","t.23","advisory","humanity, endowment, gallery, art, committee, counsellor, chairmen, digital, reestablishing, television","committee, board, advisory, member, chairman, sec, established, national, time, establishing",0.19,2.44266919702139
"t.24","t.24","employee","loyalty, derogatory, ethic, treason, folder, investigative, overthrow, appointee, unwarranted, allegation","employee, agency, government, person, investigation, employment, head, department, service, appointee",0.15,0.807032212817258
"t.25","t.25","contract","payroll, bid, bond, fee, surety, withholding, withheld, franchise, bidding, advertised","contract, agency, agreement, claim, fee, payment, service, term, amount, pursuant",0.14,0.737465223819335
"t.26","t.26","article","tsus, gsp, generalized, lddc, subdivide, staged, nomenclature, headnote, preferential, imported","article, annex, country, sec, item, tsus, made, iii, beneficiary, eligible",0.12,0.924261344595184
"t.27","t.27","accused","nonjudicial, rehearing, unexecuted, servicemember, amounting, confinement, carnal, bad, adjudged, parole","punishment, martial, court, accused, sentence, military, confinement, article, offense, manual",0.48,0.707929083027575
"t.28","t.28","emergency","rebuilding, hurricane, electromagnetic, coupon, disaster, stafford, alert, telecommunication, fema, spectrum","emergency, director, communication, telecommunication, disaster, function, agency, management, national, government",0.2,0.658860359464004
"t.29","t.29","drug","task, juvenile, trafficking, drug, theft, illegal, shortage, narcotic, crime, prosecute","force, task, drug, enforcement, policy, doj, national, office, control, crime",0.25,0.708841382542383
"t.30","t.30","delegated","deepwater, onshore, noise, abatement, offshore, pollution, spill, shoreline, effluent, allen","administrator, subsection, delegated, facility, pollution, water, function, agency, head, control",0.19,0.589772483939444
"t.31","t.31","community","stakeholder, resilience, ofbci, resilient, empowerment, web, lesson, prosperity, engagement, millennium","community, group, working, support, chair, organization, economy, based, government, development",0.29,1.24075583498268
"t.32","t.32","employee","coerce, arbitrator, grievance, reprisal, freely, arbitration, raising, purely, conciliation, negotiated","employee, organization, labor, agency, management, relation, representative, agreement, policy, service",0.12,0.568657453387663
"t.33","t.33","science","pcast, bioethic, research, science, stem, cell, nstc, behavioral, laboratory, nsf","science, research, technology, national, development, human, policy, government, ostp, nsf",0.23,0.625284488055895
"t.34","t.34","program","abrogating, arranging, appraise, mindful, effectuating, suburban, confronting, aiding, stimulating, detailing","agency, department, program, government, activity, head, policy, responsibility, sec, development",0.26,2.27047598185847
"t.35","t.35","defense","intercoastal, wool, fat, flax, starche, vendible, synthetic, vegetable, factory, subsidy","defense, production, material, agency, function, mobilization, delegated, national, respect, sec",0.18,1.03320848829814
"t.36","t.36","function","idca, nicaraguan, mutual, antiterrorism, waiving, isdca, disregarded, allocated, lettered, translating","function, agency, foreign, delegated, director, sec, development, conferred, assistance, international",0.19,2.18878688581992
