"","num","title","year","word.count","president","party","st.flag","eoMatches.num","matchWords.num","stMatch.count","stMatchRatio","Id","Label"
"1","13185","To Strengthen the Federal Government-University Research Partnership","2000",557,"42-William J. Clinton","D",TRUE,0,11,48,0.0861759425493716,"13185","13185"
"2","10727","Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","1957",208,"34-Dwight D. Eisenhower","R",TRUE,0,2,17,0.0817307692307692,"10727","10727"
"3","13539","President's Council of Advisors on Science and Technology","2010",892,"44-Barack Obama","D",TRUE,2,15,64,0.0717488789237668,"13539","13539"
"4","12882","President's Committee of Advisors on Science and Technology","1993",479,"42-William J. Clinton","D",TRUE,3,5,32,0.0668058455114822,"12882","12882"
"5","11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","1975",170,"38-Gerald R. Ford","R",TRUE,1,5,11,0.0647058823529412,"11862","11862"
"6","10521","Administration of Scientific Research by Agencies of the Federal Government","1954",914,"34-Dwight D. Eisenhower","R",TRUE,0,7,59,0.0645514223194748,"10521","10521"
"7","13226","Presidents Council of Advisors on Science and Technology","2001",493,"43-George W. Bush","R",TRUE,3,5,31,0.0628803245436105,"13226","13226"
"8","11915","Abolishing the Energy Research and Development Advisory Council","1976",67,"38-Gerald R. Ford","R",TRUE,1,2,4,0.0597014925373134,"11915","11915"
"9","13349","Amending Executive Order 13226 To Designate the Presidents Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel","2004",171,"43-George W. Bush","R",TRUE,1,3,10,0.0584795321637427,"13349","13349"
"10","13505","Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","2009",467,"44-Barack Obama","D",TRUE,1,5,26,0.0556745182012848,"13505","13505"
"11","12845","Requiring Agencies To Purchase Energy Efficient Computer Equipment","1993",542,"42-William J. Clinton","D",TRUE,0,6,30,0.0553505535055351,"12845","12845"
"12","12591","Facilitating Access to Science and Technology","1987",1392,"40-Ronald Reagan","R",TRUE,0,17,77,0.055316091954023,"12591","12591"
"13","11712","Special Committee on Energy and National Energy Office","1973",478,"37-Richard Nixon","R",TRUE,0,5,26,0.0543933054393305,"11712","11712"
"14","11953","Assigning Emergency Preparedness Functions to the Energy Research and Development Administration and Nuclear Regulatory Commission","1977",1391,"38-Gerald R. Ford","R",TRUE,2,14,75,0.0539180445722502,"11953","11953"
"15","13092","President's Information Technology Advisory Committee, Amendments to Executive Order 13035","1998",170,"42-William J. Clinton","D",TRUE,1,2,9,0.0529411764705882,"13092","13092"
"16","12039","Science and Technology Policy Functions","1978",919,"39-Jimmy Carter","D",TRUE,0,7,48,0.0522306855277476,"12039","12039"
