"num","title","link","year","word.count","president","party","eoMatches","matchWords","st.flag","matchWords.num","stMatch.count","stMatchRatio","PropSTtopic"
"13505","Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","http://www.presidency.ucsb.edu/ws/index.php?pid=85830","2009",467,"44-Barack Obama","D","13435","__science/research__; __HHS__; __NIH__; __OMB__; __budget__",TRUE,5,26,0.0556745182012848,0.647058650519235
"10668","Amendment of Executive Order No. 2859, of May 11, 1918, Relating to the National Research Council","http://www.presidency.ucsb.edu/ws/index.php?pid=106369","1956",575,"34-Dwight D. Eisenhower","R","","__science/research__; __math__; __engineering__; __medical__; __foreign__; __DOD__",TRUE,6,27,0.0469565217391304,0.565853318263437
"12832","Amendments Relating to the National Research Council","http://www.presidency.ucsb.edu/ws/index.php?pid=368","1993",974,"41-George H. W. Bush","R","","__science/research__; __engineering__; __medical__; __math__; __environment__; __security__; __economy__; __health__; __foreign__; __OMB__",TRUE,10,35,0.0359342915811088,0.557755369299842
"10521","Administration of Scientific Research by Agencies of the Federal Government","http://www.presidency.ucsb.edu/ws/index.php?pid=59228","1954",914,"34-Dwight D. Eisenhower","R","","__science/research__; __security__; __education__; __economy__; __NSF__; __health__; __budget__",TRUE,7,59,0.0645514223194748,0.534759196717222
"13435","Expanding Approved Stem Cell Lines in Ethically Responsible Ways","http://www.presidency.ucsb.edu/ws/index.php?pid=75464","2007",892,"43-George W. Bush","R","","__science/research__; __HHS__; __health__; __NIH__; __medical__; __nuclear__",TRUE,6,26,0.0291479820627803,0.522490972330834
"12891","Advisory Committee on Human Radiation Experiments","http://www.presidency.ucsb.edu/ws/index.php?pid=50220","1994",1038,"42-William J. Clinton","D","","__DOE__; __DOD__; __HHS__; __VA__; __DOJ__; __NASA__; __OMB__; __science/research__; __environment__; __health__; __AEC__; __war__; __education__; __medical__",TRUE,14,15,0.0144508670520231,0.45066633244489
"12591","Facilitating Access to Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=34111","1987",1392,"40-Ronald Reagan","R","","__science/research__; __technology__; __university__; __computing__; __engineering__; __USDA__; __energy__; __HHS__; __NASA__; __economy__; __budget__; __foreign__; __security__; __State__; __NSF__; __DOD__; __OSTP__",TRUE,17,77,0.055316091954023,0.407079326885849
"13539","President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=87787","2010",892,"44-Barack Obama","D","12968; 13226","__PCAST__; __science/research__; __technology__; __innovation__; __economy__; __energy__; __environment__; __health__; __security__; __university__; __computing__; __NSTC__; __OSTP__; __OMB__; __budget__",TRUE,15,64,0.0717488789237668,0.376175390375686
"11502","Enlarging the Membership of the President's Committee on the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=106006","1969",121,"37-Richard Nixon","R","11287","__science/research__",TRUE,1,4,0.0330578512396694,0.374997812527343
"13349","Amending Executive Order 13226 To Designate the Presidents Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel","http://www.presidency.ucsb.edu/ws/index.php?pid=61443","2004",171,"43-George W. Bush","R","13226","__PCAST__; __technology__; __science/research__",TRUE,3,10,0.0584795321637427,0.370368107021033
