"Id","topic","Label","tt_prime","tt_raw","coherence","prevalence"
"t.1","t.1","lake","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body",0.29,0.36134890037133
"t.2","t.2","environment","pollutant, chemical, toxic, complying, baseline, reduction, threshold, audit, beneficial, harmful","facility, environment, chemical, compliance, reduction, pollution, epa, toxic, management, prevention",0.21,0.564156496098267
"t.3","t.3","waiver","waiver, consent, informed, importation, systematic, applicant, thereunder, documentation, border, permit","secretary, waiver, permit, request, military, dod, application, determination, informed, operation",0.19,0.6489272232017
"t.4","t.4","classified","safeguarding, classified, clearance, unauthorized, successor, resolved, disclosure, oversight, eligibility, contractual","classified, security, access, agent, entity, intelligence, safeguarding, personnel, agreement, standard",0.27,0.65502511831345
"t.5","t.5","council","youth, systematically, fitness, enlist, sport, conference, civic, stimulate, link, physical","council, physical, fitness, sport, secretary, youth, participation, activity, encourage, citizen",0.12,1.28068323031031
"t.6","t.6","human","ethical, cell, drawn, bioethic, human, behavioral, linked, accept, technique, rapid","human, issue, medical, hhs, cell, subject, secretary, ethical, conduct, involving",0.2,1.08011551462111
"t.7","t.7","employee","exclusively, impair, subgroup, implemented, barackobama, vii, granted, equity, proposal, legislative","consistent, relating, employee, administrative, iii, create, applicable, entity, appropriation, subject",0.23,3.58717155436114
"t.8","t.8","council","decrease, actively, incorporate, publicly, rely, feasible, complying, achieving, implementing, initial","report, plan, develop, goal, include, review, implementation, ensure, date, effort",0.25,3.58634488717357
"t.9","t.9","committee","allied, specialist, selective, awarded, outstanding, citation, anniversary, volunteer, award, sixty","award, medal, individual, recommendation, made, selective, university, receive, day, january",0.04,1.83523143947675
"t.10","t.10","investment","shortage, personal, manufacturing, strongly, justify, functioning, manufacturer, vital, adhere, principle","cost, principle, investment, review, benefit, industrial, regulatory, drug, manufacturing, analysis",0.17,0.765904095883995
"t.11","t.11","substance","notice, regulatory, protocol, manufactured, substance, engine, clean, comment, statement, proposed","regulation, regulatory, action, substance, notice, rule, effect, proposed, class, title",0.14,0.728288522158403
"t.12","t.12","advisory","radiation, experiment, worker, claim, illness, thousand, exposure, vendor, exposed, test","radiation, worker, advisory, doe, experiment, compensation, claim, illness, individual, dol",0.08,0.450521386674144
"t.13","t.13","indian","indian, native, tradition, tribe, alaska, acknowledge, language, unique, culture, indicator","tribal, indian, native, alaska, tribe, american, support, consultation, community, administrative",0.38,0.556437401123349
"t.14","t.14","substance","notification, restricted, inclusion, exceptional, significantly, compile, foreign, certified, solely, export","foreign, export, substance, control, subsection, significantly, notification, consideration, required, procedure",0.09,0.605184202085611
"t.15","t.15","system","banking, duration, infrastructure, asset, critical, depend, standing, corporate, system, periodic","infrastructure, system, critical, sector, protection, chair, private, branch, communication, issue",0.22,0.710320399927485
