"Topic","num","title","link","TT_raw","TT_prime","value","DocCount"
"t.1","10378","Restoring Certain Land At Hilo, Hawaii, to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=60812","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10115","Restoring Certain Land Reserved for Military Purposes to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=60764","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10041","Restoring Certain Lands of the United States Naval Reservation at Hanapepe, Kona, Kauai, to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=78238","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10384","Restoring Certain Land Reserved in Connection with the Hilo Airport Military Reservation to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=60814","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10342","Restoring Lands of the Sugar Loaf Military Reservation and Right-of-Way Thereto to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=78456","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10833","Transferring Title to Certain Lands at Sand Island, Territory of Hawaii, to the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=106520","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10268","Restoring Certain Lands Comprisings Portions of the Fort Ruger Miltary Reservation to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=78411","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10058","Restoring Certain Lands at Keaukaha, Waiakea, South Hilo, Hawaii, to the Jurisdiction of the Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=60755","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10383","Resorting Certain Lands At Palaau, Molokai, to the Jurisdiction of Territory of Hawaii","http://www.presidency.ucsb.edu/ws/index.php?pid=78486","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.1","10121","Transferring to the Territory of Hawaii Title to Certain Public Land Needed for Operation of the Honolulu Airport","http://www.presidency.ucsb.edu/ws/index.php?pid=78300","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point","azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl",1,80
"t.10","9897","Amendments to Regulations Relating to Commissioned Officers and Employees of the Public Health Service","http://www.presidency.ucsb.edu/ws/index.php?pid=78142","officer, corp, service, grade, board, general, promotion, sec, examination, sect","brigadier, presiding, totally, surgeon, specialty, aggravated, junior, presumption, candidate, roll",1,119
"t.10","9655","Regulations Relating to Commissioned Officers and Employees of the Public Health Service","http://www.presidency.ucsb.edu/ws/index.php?pid=77867","officer, corp, service, grade, board, general, promotion, sec, examination, sect","brigadier, presiding, totally, surgeon, specialty, aggravated, junior, presumption, candidate, roll",0.923533275427381,119
"t.10","9993","Regulations Relating to Commissioned Officers and Employees of the Public Health Service","http://www.presidency.ucsb.edu/ws/index.php?pid=78215","officer, corp, service, grade, board, general, promotion, sec, examination, sect","brigadier, presiding, totally, surgeon, specialty, aggravated, junior, presumption, candidate, roll",0.921611981284876,119
