"Topic","num","title","link","TT_raw","TT_prime","value","DocCount"
"t.1","13340","Establishment of Great Lakes Interagency Task Force and Promotion of a Regional Collaboration of National Significance for the Great Lakes","http://www.presidency.ucsb.edu/ws/index.php?pid=61434","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0.457345558276457,5
"t.1","13547","Stewardship of the Ocean, Our Coasts, and the Great Lakes","http://www.presidency.ucsb.edu/ws/index.php?pid=88216","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0.439642015276586,5
"t.1","13057","Federal Actions in the Lake Tahoe Region","http://www.presidency.ucsb.edu/ws/index.php?pid=54462","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0.177121617353159,5
"t.1","13366","Committee on Ocean Policy","http://www.presidency.ucsb.edu/ws/index.php?pid=61459","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0.162318801092288,5
"t.1","13158","Marine Protected Areas","http://www.presidency.ucsb.edu/ws/index.php?pid=61650","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0.0686071766631525,5
"t.1","12882","President's Committee of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61575","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0,5
"t.1","13539","President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=87787","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0,5
"t.1","10727","Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","http://www.presidency.ucsb.edu/ws/index.php?pid=106339","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0,5
"t.1","13185","To Strengthen the Federal Government-University Research Partnership","http://www.presidency.ucsb.edu/ws/index.php?pid=61674","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0,5
"t.1","11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","http://www.presidency.ucsb.edu/ws/index.php?pid=23933","lake, great, ocean, regional, coastal, system, environment, recommendation, international, body","lake, great, coastal, ocean, maritime, stewardship, earth, body, preserve, sustainable",0,5
