President,Starting Order,Final Order,Number,Party,Link
Trump,13765,13775,45,R,
Obama,13489,13764,44,D,http://www.archives.gov/federal-register/executive-orders/obama.html
G. W. Bush,13198,13488,43,R,http://www.archives.gov/federal-register/executive-orders/wbush.html
Clinton,12834,13197,42,D,http://www.archives.gov/federal-register/executive-orders/clinton.html
H.W. Bush,12668,12833,41,R,http://www.archives.gov/federal-register/executive-orders/bush.html
Reagan,12287,12667,40,R,http://www.archives.gov/federal-register/executive-orders/reagan.html
Carter,11967,12286,39,D,http://www.archives.gov/federal-register/executive-orders/carter.html
Ford,11798,11966,38,R,http://www.archives.gov/federal-register/executive-orders/ford.html
Nixon,11452,11797,37,R,http://www.archives.gov/federal-register/executive-orders/nixon.html
Johnson,11128,11451,36,D,http://www.archives.gov/federal-register/executive-orders/johnson.html
Kennedy,10914,11127,35,D,http://www.archives.gov/federal-register/executive-orders/kennedy.html
Eisenhower,10432,10913,34,R,http://www.archives.gov/federal-register/executive-orders/eisenhower.html
Truman,9538,10431,33,D,http://www.archives.gov/federal-register/executive-orders/truman.html
