query.name,query.type,science.flag,query.short,query.long
NSF,Agency,TRUE,__NSF__,(National Science Foundation( \(NSF\))?)|( NSF )
NIH,Agency,TRUE,__NIH__,(National Institutes of Health( \(NIH\))?)|( NIH )
NASA,Agency,TRUE,__NASA__,(National Aeronautics and Space Administration( \(NASA\))?)|( NASA )|(National Advisory Committee for Aeronautics( \(NACA\))?)|( NACA )
OSTP,Agency,TRUE,__OSTP__,(Office of Science and Technology( Policy)?( \(OSTP\))?)|( OSTP )|(Assistant to the President for Science and Technology)
NIST,Agency,TRUE,__NIST__,(National Institute of Standards and Technology( \(NIST\))?)|( NIST )|(National Bureau of Standards)
NOAA,Agency,TRUE,__NOAA__,(National Oceanic and Atmospheric Administration( \(NOAA\))?)|( NOAA )
USGS,Agency,TRUE,__USGS__,(United States Geological Survey)|(U\.S\. Geological Survey)|( USGS )
NSTC,Agency,TRUE,__NSTC__,"(National Science and Technology Council( \(NSTC\))?)|( NSTC )|(Federal Council for Science and Technology( \(FCST\))?)|( FCST )|(Federal Coordinating Council for Science, Engineering,? and Technology)|( FCCSET )"
PCAST,Agency,TRUE,__PCAST__,(President'?s Council of Advisors (on|for) Science and Technology( \(PCAST\))?)|(President'?s Committee of Advisors (on|for) Science and Technology( \(PCAST\))?)|( PCAST )|(President'?s Science Advisory (Council|Committee)( \(PSAC\))?)|( PSAC )|(White House Science Council)|(President'?s Council (on|for) Science and Technology( \(PCST\))?)|( PCST )
DOE,Agency,TRUE,__DOE__,(Department(s)? of Energy( \(DOE\))?)|( DOE )|(Secretar(y|ies) of Energy)|(Energy Secretar(y|ies))|(Atomic Energy Commission( \(AEC\))?)|( AEC )|(Energy Research and Development Administration)|( ERDA )
NRC,Agency,TRUE,__NRC__,(Nuclear Regulatory Commission( \(NRC\))?)|( NRC )
DOD,Agency,FALSE,__DOD__,(Department(s)? of Defense( \(DOD\))?)|( DOD )|(Secretar(y|ies) of Defense)|(Defense Secretar(y|ies))|(Secretar(y|ies) of( the)? Navy)|(Secretar(y|ies) of( the)? Army)|(Secretar(y|ies) of( the)? Air Force)|(Navy Secretar(y|ies))|(Army Secretar(y|ies))|(Air Force Secretar(y|ies))|(Department(s)? of( the) Navy)|(Department(s)? of( the) Army)|(Department(s)? of( the) Air Force)|(Department(s)? of War)|(War Department(s)?)
HHS,Agency,FALSE,__HHS__,(Health and Human Services( \(HHS\))?)|( HHS )|( DHHS )|(Secertary of Health)|(Health Secretar(y|ies))|(Department of Health)
EPA,Agency,FALSE,__EPA__,(Environmental Protection Agency( \(EPA\))?)|( EPA )
DHS,Agency,FALSE,__DHS__,(Department(s)? of Homeland Security( \(DHS\))?)|( DHS )|(Secretar(y|ies) of Homeland Security)|(Homeland Security Secretar(y|ies))
USDA,Agency,FALSE,__USDA__,(Department(s)? of Agriculture( \(USDA\))?)|( USDA )|(Secretar(y|ies) of Agriculture)|(Agriculture Secretar(y|ies))
DOL,Agency,FALSE,__DOL__,(Department(s)? of Labor( \(DOL\))?)|( DOL )|(Secretar(y|ies) of Labor)|(Labor Secretar(y|ies))
DOEd,Agency,FALSE,__DOEd__,(Department(s)? of Education)|( DOEd )|(Secretar(y|ies) of Education)|(Education Secretar(y|ies))
State,Agency,FALSE,__State__,(Department(s)? of State)|(State Department(s)?)|(Secretar(y|ies) of State)
DOJ,Agency,FALSE,__DOJ__,(Department(s)? of Justice( \(DOJ\))?)|( DOJ )|(Attorney General)|(Justice Department(s)?)
HUD,Agency,FALSE,__HUD__,(Housing and Urban Development( \(HUD\))?)|( HUD )
DOT,Agency,FALSE,__DOT__,(Department(s)? of Transportation)|(Secretar(y|ies) of Transportation)|(Transportation Secretar(y|ies))
DOTr,Agency,FALSE,__DOTr__,(Department(s)? of( the)? Treasury)|(Secretary of( the)? Treasury)|(Treasury Secretar(y|ies))
VA,Agency,FALSE,__VA__,(Department(s)? of Veterans Affairs)|(Secretar(y|ies) of Veterans Affairs)|(Veterans Affairs Secretar(y|ies))
DOC,Agency,FALSE,__DOC__,(Department(s)? of Commerce)|(Secretar(y|ies) of Commerce)|(Commerce Secretar(y|ies))
DOI,Agency,FALSE,__DOI__,(Department(s)? of( the)? Interior)|(Secretar(y|ies) of( the)? Interior)|(Interior Secretar(y|ies))
GSA,Agency,FALSE,__GSA__,(General Services Administration( \(GSA\))?)|( GSA )|(Administrator of General Services)
CIA,Agency,FALSE,__CIA__,(Central Intelligence Agency( \(CIA\))?)|( CIA )
NSC,Agency,FALSE,__NSC__,(National Security Council( \(NSC\))?)|( NSC )
OMB,Agency,FALSE,__OMB__,(Office of Management and Budget( \(OMB\))?)|( OMB )|(Bureau of the Budget)
CEQ,Agency,FALSE,__CEQ__,(Council on Environmental Quality( \(CEQ\))?)|( CEQ )
FCC,Agency,FALSE,__FCC__,(Federal Communications Commission)|( FCC )
FAA,Agency,FALSE,__FAA__,(Federal Aviation (Administration|Agency)( \(FAA\))?)|( FAA )
Science/Research,Concept,TRUE,__science/research__,( scien[a-z]*)|(research[a-z]*)
Technology,Concept,TRUE,__technology__,(technolo[a-z]*)
Engineering,Concept,TRUE,__engineering__,(engineer[a-z]*)
Math,Concept,TRUE,__math__,( math[a-z]*)
Innovation,Concept,TRUE,__innovation__,( innov[a-z]*)
Energy,Concept,TRUE,__energy__,(energy)
Nuclear,Concept,TRUE,__nuclear__,(nuclear)|(atomic)
University,Concept,TRUE,__university__,(universit[a-z]*)|(colleges?)
Medical,Concept,TRUE,__medical__,(medical)|(medicine)|(doctors?)
Computing,Concept,TRUE,__computing__,(computers?)|(computing)|(information technolog(y|ies))|(internet)|(software)|(cyber)
Economy,Concept,FALSE,__economy__,(econo[a-z]*)
Health,Concept,FALSE,__health__,(health[a-z]*)
Freedom,Concept,FALSE,__security__,(security)
Budget,Concept,FALSE,__budget__,(budget[a-z]*)
Education,Concept,FALSE,__education__,( educat[a-z]*)
Art,Concept,FALSE,__art__,( arts? )|(artists?)|(artistic)
Foreign,Concept,FALSE,__foreign__,(foreign[a-z]*)
