"Source","Target"
"13539","12968"
"13539","13226"
"13226","12882"
"13226","12907"
"13226","13138"
"12882","12700"
"12882","12768"
"12882","12869"
"11915","11827"
"13349","13226"
"13505","13435"
"11953","11490"
"11953","11921"
"13092","13035"
"13123","12902"
"13123","12759"
"13123","12845"
"13702","12881"
"11862","11652"
"11834","11814"
"12677","12320"
"12038","11647"
"12038","11790"
"12038","11912"
"12038","10485"
"12038","11969"
"12038","11331"
"12038","11177"
"12038","10127"
"12038","10865"
"12038","10899"
"12038","11057"
"12038","11477"
"12038","11752"
"12038","11761"
"12038","11652"
"12038","11902"
"12038","11905"
"12038","11345"
"12038","11371"
"12038","11578"
"12038","11658"
"12038","11659"
"12038","10480"
"12038","11030"
"12038","11490"
"12038","12009"
"12670","12193"
"12670","12295"
"12670","12351"
"12670","12409"
"12670","12463"
"12670","12506"
"12670","12554"
"12670","12587"
"12670","12629"
"11726","11712"
"12231","11790"
"12295","12193"
"13113","13035"
"12156","12148"
"12156","12083"
"12156","12121"
"12156","12038"
"12156","11912"
"10807","9912"
"10807","10521"
"12409","12193"
"12409","12295"
"12409","12351"
"13103","13011"
"12463","12193"
"12463","12295"
"12463","12351"
"12463","12409"
"12506","12193"
"12506","12295"
"12506","12351"
"12506","12409"
"12506","12463"
"12554","12193"
"12554","12295"
"12554","12351"
"12554","12409"
"12554","12463"
"12554","12506"
"13134","13101"
"12587","12193"
"12587","12295"
"12587","12351"
"12587","12409"
"12587","12463"
"12587","12506"
"12587","12554"
"11933","11930"
"13305","13035"
"13305","13226"
"10956","10841"
"12706","12193"
"12706","12295"
"12706","12351"
"12706","12409"
"12706","12463"
"12706","12506"
"12706","12554"
"12706","12587"
"12706","12629"
"12706","12670"
"12753","12193"
"12753","12295"
"12753","12351"
"12753","12409"
"12753","12463"
"12753","12506"
"12753","12554"
"12753","12587"
"12753","12629"
"12753","12670"
"12753","12706"
"11734","11287"
"12791","12193"
"12791","12295"
"12791","12351"
"12791","12409"
"12791","12463"
"12791","12506"
"12791","12554"
"12791","12587"
"12791","12629"
"12791","12670"
"12791","12706"
"12791","12753"
"12660","12591"
"12840","12193"
"12840","12295"
"12840","12351"
"12840","12409"
"12840","12463"
"12840","12506"
"12840","12554"
"12840","12587"
"12840","12629"
"12840","12670"
"12840","12706"
"12840","12753"
"12840","12791"
"12351","12193"
"12351","12295"
"12876","12677"
"12712","12675"
"12629","12193"
"12629","12295"
"12629","12351"
"12629","12409"
"12629","12463"
"12629","12506"
"12629","12554"
"12629","12587"
"13256","12876"
"13104","13021"
"12903","12193"
"12903","12295"
"12903","12351"
"12903","12409"
"12903","12463"
"12903","12506"
"12903","12554"
"12903","12587"
"12903","12629"
"12903","12670"
"12903","12706"
"12903","12753"
"12903","12791"
"12903","12840"
"12955","12193"
"12955","12295"
"12955","12351"
"12955","12409"
"12955","12463"
"12955","12506"
"12955","12554"
"12955","12587"
"12955","12629"
"12955","12670"
"12955","12706"
"12955","12753"
"12955","12791"
"12955","12840"
"12955","12903"
"11502","11287"
"12320","12232"
"11381","10807"
"13211","12866"
"9604","9568"
"13200","13035"
"13200","13092"
"13200","13113"
"13521","13237"
"10596","9908"
"10596","9701"
"13329","12958"
"12768","12700"
"13270","13021"
"10783","10530"
"12902","12759"
"13419","12881"
"13419","13346"
"11819","11814"
"11930","11790"
"11930","11912"
"11930","11814"
"11287","10910"
"11287","10961"
"13021","12999"
"13021","12928"
"12083","11814"
