"num","title","year","president","party","eoMatches.out.num","eoMatches.in.num","eoMatches.all.num","is.ostp","Id","Label","presidentNum","Category"
"13185","To Strengthen the Federal Government-University Research Partnership","2000","Clinton","D",0,0,0,TRUE,"13185","13185",42,"Other_OSTP"
"10727","Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","1957","Eisenhower","R",0,0,0,FALSE,"10727","10727",34,"Other_non"
"13539","President's Council of Advisors on Science and Technology","2010","Obama","D",2,4,6,TRUE,"13539","13539",44,"Obama_OSTP"
"10521","Administration of Scientific Research by Agencies of the Federal Government","1954","Eisenhower","R",0,1,1,FALSE,"10521","10521",34,"Other_non"
"13226","Presidents Council of Advisors on Science and Technology","2001","W. Bush","R",3,6,9,TRUE,"13226","13226",43,"Other_OSTP"
"12882","President's Committee of Advisors on Science and Technology","1993","Clinton","D",3,5,8,TRUE,"12882","12882",42,"Other_OSTP"
"11915","Abolishing the Energy Research and Development Advisory Council","1976","Ford","R",1,0,1,FALSE,"11915","11915",38,"Other_non"
"13349","Amending Executive Order 13226 To Designate the Presidents Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel","2004","W. Bush","R",1,0,1,FALSE,"13349","13349",43,"Other_non"
"12591","Facilitating Access to Science and Technology","1987","Reagan","R",0,2,2,TRUE,"12591","12591",40,"Other_OSTP"
"13505","Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","2009","Obama","D",1,0,1,FALSE,"13505","13505",44,"Obama_non"
"12845","Requiring Agencies To Purchase Energy Efficient Computer Equipment","1993","Clinton","D",0,2,2,FALSE,"12845","12845",42,"Other_non"
"11953","Assigning Emergency Preparedness Functions to the Energy Research and Development Administration and Nuclear Regulatory Commission","1977","Ford","R",2,0,2,FALSE,"11953","11953",38,"Other_non"
"11712","Special Committee on Energy and National Energy Office","1973","Nixon","R",0,1,1,FALSE,"11712","11712",37,"Other_non"
"13092","President's Information Technology Advisory Committee, Amendments to Executive Order 13035","1998","Clinton","D",1,2,3,FALSE,"13092","13092",42,"Other_non"
"12039","Science and Technology Policy Functions","1978","Carter","D",0,1,1,TRUE,"12039","12039",39,"Other_OSTP"
"12055","Export of Special Nuclear Material to India","1978","Carter","D",0,0,0,FALSE,"12055","12055",39,"Other_non"
"13123","Greening the Government Through Efficient Energy Management","1999","Clinton","D",3,2,5,FALSE,"13123","13123",42,"Other_non"
"13702","Creating a National Strategic Computing Initiative","2015","Obama","D",1,0,1,TRUE,"13702","13702",44,"Obama_OSTP"
"11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","1975","Ford","R",1,1,2,FALSE,"11862","11862",38,"Other_non"
"12344","Naval Nuclear Propulsion Program","1982","Reagan","R",0,0,0,FALSE,"12344","12344",40,"Other_non"
"10668","Amendment of Executive Order No. 2859, of May 11, 1918, Relating to the National Research Council","1956","Eisenhower","R",0,0,0,FALSE,"10668","10668",34,"Other_non"
"11834","Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission","1975","Ford","R",1,1,2,FALSE,"11834","11834",38,"Other_non"
"12821","Improving Mathematics and Science Education in Support of the National Education Goals","1992","H.W. Bush","R",0,1,1,FALSE,"12821","12821",41,"Other_non"
"13035","Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","1997","Clinton","D",0,5,5,TRUE,"13035","13035",42,"Other_OSTP"
"12677","Historically Black Colleges and Universities","1989","H.W. Bush","R",1,1,2,FALSE,"12677","12677",41,"Other_non"
"12193","Nuclear Cooperation With EURATOM","1980","Carter","D",0,16,16,FALSE,"12193","12193",39,"Other_non"
"12038","Department of Energy","1978","Carter","D",26,7,33,FALSE,"12038","12038",39,"Other_non"
"12670","Nuclear Cooperation With EURATOM","1989","H.W. Bush","R",9,6,15,FALSE,"12670","12670",41,"Other_non"
"11726","Energy Policy Office","1973","Nixon","R",1,2,3,FALSE,"11726","11726",37,"Other_non"
"12231","Strategic Petroleum Reserve","1980","Carter","D",1,0,1,FALSE,"12231","12231",39,"Other_non"
"12881","Establishment of the National Science and Technology Council","1993","Clinton","D",0,4,4,TRUE,"12881","12881",42,"Other_OSTP"
"12026","Energy Department Employees","1977","Carter","D",0,0,0,FALSE,"12026","12026",39,"Other_non"
"12295","Nuclear Cooperation With EURATOM","1981","Reagan","R",1,15,16,FALSE,"12295","12295",40,"Other_non"
"12218","Export of Special Nuclear Material and Components to India","1980","Carter","D",0,0,0,FALSE,"12218","12218",39,"Other_non"
"13113","President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended","1999","Clinton","D",1,2,3,FALSE,"13113","13113",42,"Other_non"
"11477","Authorizing the Atomic Energy Commission to Make Certain Awards Without the Approval of the President","1969","Nixon","R",0,1,1,FALSE,"11477","11477",37,"Other_non"
"12156","Federal Emergency Management Agency; Department of Energy","1979","Carter","D",5,0,5,FALSE,"12156","12156",39,"Other_non"
"10807","Federal Council for Science and Technology","1959","Eisenhower","R",2,1,3,TRUE,"10807","10807",34,"Other_OSTP"
"12409","Nuclear Cooperation with EURATOM","1983","Reagan","R",3,13,16,FALSE,"12409","12409",40,"Other_non"
"13103","Computer Software Piracy","1998","Clinton","D",1,0,1,FALSE,"13103","13103",42,"Other_non"
"12463","Nuclear Cooperation With EURATOM","1984","Reagan","R",4,12,16,FALSE,"12463","12463",40,"Other_non"
"12506","Nuclear Cooperation With EURATOM","1985","Reagan","R",5,10,15,FALSE,"12506","12506",40,"Other_non"
"12554","Nuclear Cooperation With EURATOM","1986","Reagan","R",6,9,15,FALSE,"12554","12554",40,"Other_non"
"13134","Developing and Promoting Biobased Products and Bioenergy","1999","Clinton","D",1,3,4,TRUE,"13134","13134",42,"Other_OSTP"
"12587","Nuclear Cooperation With EURATOM","1987","Reagan","R",7,8,15,FALSE,"12587","12587",40,"Other_non"
"11933","Termination of the Federal Energy Office","1976","Ford","R",1,0,1,FALSE,"11933","11933",38,"Other_non"
"12232","Historically Black Colleges and Universities","1980","Carter","D",0,1,1,FALSE,"12232","12232",39,"Other_non"
"13305","Extension of the Presidents Information Technology Advisory Committee and the Presidents Council of Advisors on Science and Technology","2003","W. Bush","R",2,0,2,FALSE,"13305","13305",43,"Other_non"
"10956","Amendment of Executive Order No. 10841, Relating to International Cooperation Under the Atomic Energy Act of 1954, as Amended","1961","Kennedy","D",1,0,1,FALSE,"10956","10956",35,"Other_non"
"12184","President's Special Commission for the Study of Ethical Problems in Medicine and Biomedical and Behavioral Research","1979","Carter","D",0,1,1,FALSE,"12184","12184",39,"Other_non"
