"Source","Target"
"10096","department of defense"
"10163","department of defense"
"10171","department of defense"
"10198","federal communications commission"
"10210","department of defense"
"10214","department of defense"
"10216","department of defense"
"10219","department of defense"
"10227","department of defense"
"10231","department of defense"
"10243","department of defense"
"10251","department of defense"
"10281","department of defense"
"10297","federal communications commission"
"10298","department of defense"
"10304","department of defense"
"10308","department of defense"
"10311","department of defense"
"10312","federal communications commission"
"10332","department of defense"
"10346","department of defense"
"10393","department of defense"
"10394","department of defense"
"10402","federal communications commission"
"10416","department of defense"
"10421","department of defense"
"10448","department of defense"
"10457","department of energy"
"10460","federal communications commission"
"10477","department of defense"
"10480","department of defense"
"10480","national aeronautics and space administration"
"10480","department of energy"
"10485","department of energy"
"10500","department of energy"
"10521","national science foundation"
"10530","federal communications commission"
"10538","department of defense"
"10560","department of defense"
"10608","department of defense"
"10646","department of defense"
"10722","department of defense"
"10726","department of defense"
"10776","department of defense"
"10783","department of defense"
"10783","national aeronautics and space administration"
"10784","department of defense"
"10789","department of defense"
"10789","national aeronautics and space administration"
"10789","department of energy"
"10793","department of defense"
"10793","national aeronautics and space administration"
"10802","department of defense"
"10834","department of defense"
"10840","department of defense"
"10840","department of energy"
"10849","national aeronautics and space administration"
"10865","national aeronautics and space administration"
"10865","department of defense"
"10870","national aeronautics and space administration"
"10899","department of defense"
"10900","department of defense"
"10900","national science foundation"
"10909","national aeronautics and space administration"
"10909","department of defense"
"10910","national science foundation"
"10925","national aeronautics and space administration"
"10942","national aeronautics and space administration"
"10946","national aeronautics and space administration"
"10952","department of defense"
"10957","department of defense"
"10961","national science foundation"
"10973","department of defense"
"10976","national aeronautics and space administration"
"10995","federal communications commission"
"10997","department of defense"
"10998","department of defense"
"10999","department of defense"
"11000","department of defense"
"11001","department of defense"
"11002","department of defense"
"11003","department of defense"
"11004","department of defense"
"11005","department of defense"
"11014","national science foundation"
"11023","department of defense"
"11024","national science foundation"
"11044","department of defense"
"11044","national aeronautics and space administration"
"11047","department of defense"
"11051","department of defense"
"11057","department of defense"
"11058","department of defense"
"11062","department of defense"
"11064","department of defense"
"11084","federal communications commission"
"11089","department of defense"
"11090","department of defense"
"11092","federal communications commission"
"11092","department of defense"
"11093","department of defense"
"11094","department of defense"
"11095","national aeronautics and space administration"
"11095","national science foundation"
"11095","department of defense"
"11095","office of science and technology"
"11097","office of science and technology"
"11128","department of defense"
"11129","national aeronautics and space administration"
"11161","department of defense"
"11177","department of energy"
"11223","department of defense"
"11239","federal communications commission"
"11287","national science foundation"
"11327","department of defense"
"11366","department of defense"
"11374","department of defense"
"11374","national aeronautics and space administration"
"11381","department of defense"
"11381","national aeronautics and space administration"
"11381","national science foundation"
"11392","department of defense"
"11423","federal communications commission"
"11423","department of energy"
"11438","department of defense"
"11485","department of defense"
"11490","department of defense"
"11490","federal communications commission"
"11490","national aeronautics and space administration"
"11490","national science foundation"
"11490","office of science and technology"
"11503","department of defense"
"11512","department of defense"
"11545","department of defense"
"11564","department of defense"
"11566","department of defense"
"11578","environmental protection agency"
"11609","department of defense"
"11628","environmental protection agency"
"11652","department of defense"
"11652","national aeronautics and space administration"
"11652","federal communications commission"
"11652","national science foundation"
"11700","department of defense"
"11735","environmental protection agency"
"11736","national institutes of health"
"11738","environmental protection agency"
"11742","environmental protection agency"
"11814","environmental protection agency"
"11814","national science foundation"
"11819","environmental protection agency"
"11819","national science foundation"
"11827","environmental protection agency"
"11827","national science foundation"
"11830","federal communications commission"
"11839","environmental protection agency"
"11855","environmental protection agency"
"11855","national science foundation"
"11856","environmental protection agency"
"11861","national institutes of health"
"11861","department of defense"
"11870","environmental protection agency"
"11877","national institutes of health"
"11885","department of defense"
"11891","department of defense"
"11892","environmental protection agency"
"11896","department of defense"
"11904","department of defense"
"11905","department of defense"
"11911","national science foundation"
"11917","environmental protection agency"
"11918","department of defense"
"11921","environmental protection agency"
"11921","department of defense"
"11930","environmental protection agency"
"11939","department of defense"
"11948","national science foundation"
"11950","department of defense"
"11953","department of defense"
"11955","national aeronautics and space administration"
"11958","department of defense"
"11959","department of defense"
"11976","department of defense"
"11986","department of defense"
"11998","department of defense"
"12009","department of energy"
"12025","department of defense"
"12026","department of energy"
"12038","department of energy"
"12046","federal communications commission"
"12046","office of science and technology"
"12049","department of defense"
"12049","environmental protection agency"
"12058","department of energy"
"12062","department of energy"
"12063","department of defense"
"12065","national aeronautics and space administration"
"12075","department of energy"
"12075","environmental protection agency"
"12076","department of defense"
"12083","environmental protection agency"
"12083","office of science and technology"
"12083","national science foundation"
"12086","department of defense"
"12086","department of energy"
"12086","environmental protection agency"
"12088","environmental protection agency"
"12089","office of science and technology"
"12099","department of defense"
"12103","department of energy"
"12106","federal communications commission"
"12110","national science foundation"
"12110","department of defense"
"12129","department of energy"
"12129","environmental protection agency"
"12130","department of energy"
"12138","national science foundation"
"12140","department of energy"
"12142","environmental protection agency"
"12143","department of defense"
"12146","department of defense"
"12146","department of energy"
"12146","environmental protection agency"
"12148","department of defense"
"12148","office of science and technology"
"12148","national aeronautics and space administration"
"12149","department of energy"
"12149","environmental protection agency"
"12154","department of defense"
"12156","department of energy"
"12160","department of defense"
"12160","department of energy"
"12163","department of defense"
"12171","department of defense"
"12171","department of energy"
"12191","department of energy"
"12191","environmental protection agency"
"12192","department of energy"
"12192","environmental protection agency"
"12194","department of defense"
"12194","department of energy"
"12194","environmental protection agency"
"12194","national science foundation"
"12194","office of science and technology"
