"ID","Title","President"
"10096","Providing for a Uniform Patent Policy for the Government with Respect to Inventions Made by Government Employees and for the Administration of Such Policy","33 - Harry S. Truman"
"10163","The Armed Forces Reserve Medal","33 - Harry S. Truman"
"10171","Transferring Occupation Functions in Austria to the Department of State","33 - Harry S. Truman"
"10198","Exemption of Paul A. Walker from Compulsory Retirement for Age","33 - Harry S. Truman"
"10210","Authorizing the Department of Defense and the Department of Commerce to Exercise the Functions and Powers Set Forth in Title Ii of the First War Powers Act, 1941, as Amended by the Act of January 12, 1951, and Prescribing Regulations for the Exercise of Such Functions and Powers","33 - Harry S. Truman"
"10214","Prescribing the Manual for Courts-Martial, United States, 1951","33 - Harry S. Truman"
"10216","Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Department of Agriculture, the Atomic Energy Commission, the National Advisory Committee for Aeronautics, and the Government Printing Office","33 - Harry S. Truman"
"10219","Defining Certain Responsibilities of Federal Agencies with Respect to Transportation and Storage","33 - Harry S. Truman"
"10227","Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the General Services Administration","33 - Harry S. Truman"
"10231","Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Tennessee Valley Authority","33 - Harry S. Truman"
"10243","Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Federal Civil Defense Administration","33 - Harry S. Truman"
"10251","Suspension of the Eight-Hour Law as to Laborers and Mechanics Employed by the Department of Defense on Public Work Essential to the National Defense","33 - Harry S. Truman"
"10281","Defense Materials Procurement and Supply","33 - Harry S. Truman"
"10297","Providing for a Telecommunications Advisor to the President","33 - Harry S. Truman"
"10298","Extending the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Department of the Interior.","33 - Harry S. Truman"
"10304","Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Committee on Armed Services","33 - Harry S. Truman"
"10308","Improving the Means for Obtaining Compliance with the Nondiscrimination Provisions of Federal Contracts","33 - Harry S. Truman"
"10311","Suspending Certain Statutory Provisions Relating to Employment in the Canal Zone","33 - Harry S. Truman"
