"president","matchWord","n","total","percent"
"33-Truman","",328,874,0.375286041189931
"33-Truman","__AEC__",21,874,0.0240274599542334
"33-Truman","__art__",4,874,0.0045766590389016
"33-Truman","__budget__",5,874,0.005720823798627
"33-Truman","__CEA__",0,874,0
"33-Truman","__CEQ__",0,874,0
"33-Truman","__CIA__",2,874,0.0022883295194508
"33-Truman","__computing__",9,874,0.0102974828375286
"33-Truman","__DHS__",0,874,0
"33-Truman","__DOC__",53,874,0.0606407322654462
"33-Truman","__DOD__",183,874,0.209382151029748
"33-Truman","__DOE__",0,874,0
"33-Truman","__DOEd__",0,874,0
"33-Truman","__DOI__",72,874,0.0823798627002288
"33-Truman","__DOJ__",64,874,0.0732265446224256
"33-Truman","__DOL__",34,874,0.0389016018306636
"33-Truman","__DOT__",0,874,0
"33-Truman","__DOTr__",54,874,0.0617848970251716
"33-Truman","__economy__",83,874,0.0949656750572082
"33-Truman","__education__",27,874,0.0308924485125858
"33-Truman","__energy__",8,874,0.0091533180778032
"33-Truman","__engineering__",40,874,0.045766590389016
"33-Truman","__environment__",1,874,0.0011441647597254
"33-Truman","__EPA__",0,874,0
"33-Truman","__ERDA__",0,874,0
"33-Truman","__FAA__",0,874,0
"33-Truman","__FCC__",11,874,0.0125858123569794
"33-Truman","__foreign__",112,874,0.128146453089245
"33-Truman","__GSA__",10,874,0.011441647597254
"33-Truman","__health__",63,874,0.0720823798627002
"33-Truman","__HHS__",0,874,0
"33-Truman","__HUD__",0,874,0
"33-Truman","__innovation__",0,874,0
"33-Truman","__math__",3,874,0.0034324942791762
"33-Truman","__medical__",31,874,0.0354691075514874
"33-Truman","__NASA__",7,874,0.0080091533180778
"33-Truman","__NIH__",0,874,0
"33-Truman","__NIST__",4,874,0.0045766590389016
"33-Truman","__NOAA__",0,874,0
"33-Truman","__NRC__",0,874,0
"33-Truman","__NSC__",1,874,0.0011441647597254
"33-Truman","__NSF__",0,874,0
"33-Truman","__NSTC__",0,874,0
"33-Truman","__nuclear__",7,874,0.0080091533180778
"33-Truman","__OMB__",53,874,0.0606407322654462
"33-Truman","__OSTP__",3,874,0.0034324942791762
"33-Truman","__PCAST__",0,874,0
"33-Truman","__science/research__",38,874,0.0434782608695652
