"num","title","action.category","policy.category","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches","link"
"13602","Establishing a White House Council on Strong Cities, Strong Communities","Manage Advisory Committees, Commissions, or Councils","",2012,"44-Barack Obama",TRUE,"__economy__; __HUD__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __HHS__; __DOT__; __DOE__; __DOEd__; __VA__; __DHS__; __EPA__; __OMB__; __CEQ__; __OSTP__; __budget__",1250,0.0016,"","http://www.presidency.ucsb.edu/ws/index.php?pid=100048"
"13603","National Defense Resources Preparedness","","",2012,"44-Barack Obama",TRUE,"__technology__; __security__; __science/research__; __economy__; __DHS__; __DOC__; __DOD__; __USDA__; __health__; __DOE__; __energy__; __HHS__; __DOT__; __foreign__; __war__; __DOTr__; __OMB__; __budget__; __DOI__; __DOJ__; __DOL__; __State__; __CIA__; __NASA__; __OSTP__; __nuclear__; __medical__",5332,0.00656414103525881,"11858; 12919; 12656; 12472","http://www.presidency.ucsb.edu/ws/index.php?pid=100050"
"13604","Improving Performance of Federal Permitting and Review of Infrastructure Projects","","",2012,"44-Barack Obama",TRUE,"__environment__; __economy__; __energy__; __health__; __security__; __technology__; __CEQ__; __DOD__; __DOI__; __USDA__; __DOC__; __DOT__; __DOE__; __DHS__; __EPA__; __OMB__; __budget__",1709,0.00526623756582797,"13580; 13563; 13175","http://www.presidency.ucsb.edu/ws/index.php?pid=100316"
"13605","Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources","","",2012,"44-Barack Obama",TRUE,"__energy__; __economy__; __health__; __science/research__; __environment__; __DOD__; __DOI__; __USDA__; __DOC__; __HHS__; __DOT__; __DOE__; __DHS__; __EPA__; __CEQ__; __OSTP__; __OMB__; __budget__",761,0.0105124835742444,"","http://www.presidency.ucsb.edu/ws/index.php?pid=100510"
"13606","Blocking the Property and Suspending Entry into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria Via Information Technology","Implement Sanctions","Foreign Policy",2012,"44-Barack Obama",TRUE,"__technology__; __economy__; __computing__; __security__; __foreign__; __DOTr__; __State__; __war__",1607,0.00808960796515246,"12957; 13338","http://www.presidency.ucsb.edu/ws/index.php?pid=100679"
"13607","Establishing Principles of Excellence for Educational Institutions Serving Service Members, Veterans, Spouses, and Other Family Members","","Education Policy",2012,"44-Barack Obama",TRUE,"__education__; __DOD__; __DOEd__; __VA__; __DOJ__; __university__; __OMB__; __budget__",1904,0.000525210084033613,"","http://www.presidency.ucsb.edu/ws/index.php?pid=100707"
"13609","Promoting International Regulatory Cooperation","","",2012,"44-Barack Obama",TRUE,"__health__; __environment__; __economy__; __innovation__; __foreign__; __security__; __technology__; __OMB__; __budget__",1324,0.00151057401812689,"13563; 12866","http://www.presidency.ucsb.edu/ws/index.php?pid=100724"
"13608","Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria","Implement Sanctions","Foreign Policy",2012,"44-Barack Obama",TRUE,"__foreign__; __economy__; __DOTr__; __State__; __technology__; __security__",1507,0.0013271400132714,"12957; 13338; 12938; 13224; 13382","http://www.presidency.ucsb.edu/ws/index.php?pid=100725"
"13610","Identifying and Reducing Regulatory Burdens","","",2012,"44-Barack Obama",TRUE,"__health__; __environment__; __economy__; __technology__; __OMB__; __budget__",913,0.00109529025191676,"13563; 12866","http://www.presidency.ucsb.edu/ws/index.php?pid=100833"
"13611","Blocking Property of Persons Threatening the Peace, Security, or Stability of Yemen","Implement Sanctions","Foreign Policy",2012,"44-Barack Obama",TRUE,"__security__; __economy__; __foreign__; __DOTr__; __State__; __technology__",1093,0.000914913083257091,"","http://www.presidency.ucsb.edu/ws/index.php?pid=100855"
"13615","Providing an Order of Succession Within the Office of Management and Budget","Set Order of Succession","",2012,"44-Barack Obama",FALSE,"__OMB__; __security__; __education__; __health__",402,0,"13370","http://www.presidency.ucsb.edu/ws/index.php?pid=100897"
"13614","Providing an Order of Succession Within the Environmental Protection Agency","Set Order of Succession","",2012,"44-Barack Obama",TRUE,"__EPA__; __science/research__; __environment__",469,0.00213219616204691,"13261; 13344","http://www.presidency.ucsb.edu/ws/index.php?pid=100898"
"13613","Providing an Order of Succession Within the Department of Commerce","Set Order of Succession","",2012,"44-Barack Obama",TRUE,"__DOC__; __economy__; __technology__; __NOAA__; __NIST__",424,0.00707547169811321,"13242","http://www.presidency.ucsb.edu/ws/index.php?pid=100899"
"13612","Providing an Order of Succession Within the Department of Agriculture","Set Order of Succession","",2012,"44-Barack Obama",TRUE,"__USDA__; __foreign__; __science/research__; __education__; __economy__; __environment__",574,0.00174216027874564,"13542","http://www.presidency.ucsb.edu/ws/index.php?pid=100900"
"13616","Accelerating Broadband Infrastructure Deployment","","Telecom Policy",2012,"44-Barack Obama",TRUE,"__innovation__; __DHS__; __OSTP__; __DOD__; __DOI__; __USDA__; __DOC__; __DOT__; __VA__; __FCC__; __CEQ__; __security__; __environment__; __technology__; __State__; __OMB__; __budget__",1644,0.00304136253041363,"13604","http://www.presidency.ucsb.edu/ws/index.php?pid=101030"
"13617","Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons","Implement Sanctions","Foreign Policy",2012,"44-Barack Obama",TRUE,"__nuclear__; __economy__; __security__; __foreign__; __DOTr__; __State__; __DOE__",1015,0.00689655172413793,"12938; 13085; 13159","http://www.presidency.ucsb.edu/ws/index.php?pid=101052"
"13618","Assignment of National Security and Emergency Preparedness Communications Functions","Assign Emergency Preparedness Functions","",2012,"44-Barack Obama",TRUE,"__security__; __OSTP__; __science/research__; __State__; __FCC__; __DHS__; __DOD__; __OMB__; __nuclear__; __DOC__; __budget__",2255,0.00310421286031042,"12333; 13526; 12472; 12382","http://www.presidency.ucsb.edu/ws/index.php?pid=101334"
"13619","Blocking Property of Persons Threatening the Peace, Security, or Stabilization of Burma","Implement Sanctions","Foreign Policy",2012,"44-Barack Obama",TRUE,"__security__; __economy__; __foreign__; __DOTr__; __State__; __technology__",1415,0.00212014134275618,"13047; 13448; 13310; 13464","http://www.presidency.ucsb.edu/ws/index.php?pid=101361"
"13620","Taking Additional Steps To Address the National Emergency With Respect to Somalia","","Foreign Policy",2012,"44-Barack Obama",FALSE,"__economy__; __security__; __foreign__; __DOTr__; __State__",1004,0,"13536","http://www.presidency.ucsb.edu/ws/index.php?pid=101397"
"11266","Draft Status of Fathers in Certain Essential Occupations","","",1966,"36-Lyndon B. Johnson",FALSE,"__DOD__",211,0,"10292; 10469; 11098","http://www.presidency.ucsb.edu/ws/index.php?pid=101543"
