"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"Designation of Officers of the Department of the Interior to act as Secretary of the Interior","1969","37-Nixon",FALSE,"__DOI__",208,0,"10753","13244","http://www.presidency.ucsb.edu/ws/index.php?pid=59074"
"Amending Executive Order No. 10873 to Provide for an Exception to the Inter-American Development Bank's Immunity From Suit Specified in the International Organizations Immunities Act","1962","35-Kennedy",FALSE,"",127,0,"10873","","http://www.presidency.ucsb.edu/ws/index.php?pid=58958"
"Authorizing the Secretary of the Navy To Take Possession of and Operate the Plants and Facilities of Goodyear Tire & Rubber Company Inc., Located at Akron, Ohio","1945","33-Truman",FALSE,"__DOD__; __war__; __DOJ__; __DOL__",800,0,"","9603","http://www.presidency.ucsb.edu/ws/index.php?pid=106494"
"Modifying the Protection Granted to the Development Fund for Iraq and Certain Property in Which Iraq Has an Interest and Protecting the Central Bank of Iraq","2004","43-G. W. Bush",FALSE,"__economy__; __security__; __foreign__; __DOTr__; __State__",769,0,"13303; 13315; 13350","13438; 13668","http://www.presidency.ucsb.edu/ws/index.php?pid=61457"
"Establishing a Seal for the Department of Health, Education, and Welfare","1953","34-Eisenhower",FALSE,"__health__; __education__",203,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106560"
"Creating an Emergency Board to Investigate Disputes Between the Grand Trunk Western Railroad Company, Pere Marquette Railway Company, Wabash Railroad Company, Ann Arbor Railroad Company, and Certain of Their Employees","1947","33-Truman",FALSE,"",270,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=60713"
"General Creighton W. Abrams, Chief of Staff, United States Army","1974","38-Ford",FALSE,"",145,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=23894"
"United States Foreign Intelligence Activities","1977","39-Carter",FALSE,"__foreign__; __security__",241,0,"11905; 11985","12036","http://www.presidency.ucsb.edu/ws/index.php?pid=7615"
"Creating an Emergency Board to Investigate a Dispute Between the Carriers Represented by the National Railway Labor Conference and Certain of Their Employees","1975","38-Ford",FALSE,"",308,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=60463"
"Strategic and Critical Materials","1979","39-Carter",FALSE,"__GSA__; __DOI__; __USDA__",401,0,"12148","12417","http://www.presidency.ucsb.edu/ws/index.php?pid=31310"
"Creating an Emergency Board to Investigate Disputes Between the REA Express and Certain of its Employees","1962","35-Kennedy",FALSE,"__war__",227,0,"","12553; 12856; 12898; 13148","http://www.presidency.ucsb.edu/ws/index.php?pid=58989"
"Designating the Fish and Wildlife Service as the Agency Responsible for the Enforcement of the Sockeye Salmon Fishery Act of 1947","1947","33-Truman",FALSE,"__DOI__",147,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=59311"
"Amendment of Executive Order No. 5952 of November 23, 1932, as Amended, Prescribing the Army Ration","1962","35-Kennedy",FALSE,"__war__",159,0,"9561","11339","http://www.presidency.ucsb.edu/ws/index.php?pid=58971"
"Amendment of Executive Order No. 4601 of March 1, 1927, Prescribing Regulations Pertaining to the Award of the Distinguished Flying Cross","1950","33-Truman",FALSE,"__war__",447,0,"9615","","http://www.presidency.ucsb.edu/ws/index.php?pid=60781"
"Internal Revenue Service Management Board","1997","42-Clinton",FALSE,"__DOTr__; __security__; __OMB__; __budget__",698,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=54317"
"Modifying the Exterior Boundaries of Certain National Forests in Alabama, Florida, Louisiana, Mississippi, North Carolina, Oklahoma, and South Carolina","1959","34-Eisenhower",FALSE,"__USDA__; __war__",4534,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106532"
"Amending Executive Order No. 11022, Relating to the President's Council on Aging","1967","36-Johnson",FALSE,"__health__; __education__; __USDA__; __DOC__; __HUD__; __DOL__; __DOT__; __DOTr__; __economy__",145,0,"11022","","http://www.presidency.ucsb.edu/ws/index.php?pid=106108"
"Delegation of Functions Under the Freedom Support Act and Related Provisions of the Foreign Operations","1993","42-Clinton",FALSE,"__foreign__; __State__; __USDA__",632,0,"12163","13030; 13118","http://www.presidency.ucsb.edu/ws/index.php?pid=61577"
"Inspection of Income, Estate, and Gift Tax Returns by the Committee on Public Works, House of Representatives","1969","37-Nixon",FALSE,"__DOTr__",183,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=105980"
"Designation of Certain Officers of the Department of Commerce to Act as Secretary of Commerce","1950","33-Truman",FALSE,"__DOC__",215,0,"9885","11388","http://www.presidency.ucsb.edu/ws/index.php?pid=78324"
"Inspection of Income, Estate, and Gift Tax Returns by the Committee on Banking and Currency, House of Representatives","1965","36-Johnson",FALSE,"__DOTr__",182,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106234"
"Reports on International Organizations","1982","40-Reagan",FALSE,"__foreign__; __State__; __OMB__",159,0,"","12408","http://www.presidency.ucsb.edu/ws/index.php?pid=42795"
"President's Private Sector Survey on Cost Control in the Federal Government","1982","40-Reagan",FALSE,"__DOC__; __GSA__",607,0,"","12398; 12429; 12447; 12455; 12534","http://www.presidency.ucsb.edu/ws/index.php?pid=42692"
