"num","title","link","year","president","eoMatches.out","eoMatches.in","matchWords"
"13744","Coordinating Efforts To Prepare the Nation for Space Weather Events","http://www.presidency.ucsb.edu/ws/index.php?pid=119508","2016","Obama","12881; 13642","","__technology__; __health__; __economy__; __innovation__; __OSTP__; __security__; __OMB__; __NSTC__; __science/research__; __DOD__; __DOI__; __DOC__; __DOE__; __DHS__; __NASA__; __NSF__; __State__; __energy__; __nuclear__; __environment__; __budget__"
"13751","Safeguarding the Nation From the Impacts of Invasive Species","http://www.presidency.ucsb.edu/ws/index.php?pid=119832","2016","Obama","13112","","__environment__; __economy__; __health__; __security__; __energy__; __technology__; __innovation__; __budget__; __science/research__; __education__; __State__; __foreign__; __HHS__; __OSTP__; __computing__; __DOTr__; __DOD__; __DOI__; __USDA__; __DOC__; __DOT__; __DHS__; __NASA__; __EPA__; __CEQ__; __OMB__"
"13731","Global Entrepreneurship","http://www.presidency.ucsb.edu/ws/index.php?pid=117923","2016","Obama","","","__economy__; __security__; __innovation__; __foreign__; __DOC__; __State__; __NASA__; __education__; __computing__; __DOTr__; __DOD__; __DOT__; __FCC__; __NSC__; __OSTP__; __OMB__; __budget__"
"13748","Establishing a Community Solutions Council","http://www.presidency.ucsb.edu/ws/index.php?pid=119658","2016","Obama","13560; 13602","","__science/research__; __university__; __health__; __economy__; __technology__; __education__; __OMB__; __DOJ__; __HHS__; __HUD__; __EPA__; __State__; __DOTr__; __DOD__; __DOI__; __USDA__; __DOC__; __DOL__; __DOT__; __DOE__; __DOEd__; __VA__; __DHS__; __GSA__; __art__; __CEQ__; __OSTP__; __environment__; __budget__"
"13719","Establishment of the Federal Privacy Council","http://www.presidency.ucsb.edu/ws/index.php?pid=111568","2016","Obama","","","__innovation__; __OMB__; __education__; __State__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __HHS__; __DHS__; __HUD__; __DOT__; __DOE__; __DOEd__; __VA__; __EPA__; __NASA__; __GSA__; __NSF__; __security__; __NSTC__; __economy__; __NSC__; __OSTP__; __budget__"
"13747","Advancing the Global Health Security Agenda to Achieve a World Safe and Secure From Infectious Disease Threats","http://www.presidency.ucsb.edu/ws/index.php?pid=119627","2016","Obama","","","__health__; __security__; __economy__; __NSC__; __foreign__; __State__; __DOD__; __DOJ__; __USDA__; __HHS__; __DHS__; __OMB__; __EPA__; __OSTP__; __budget__"
"13702","Creating a National Strategic Computing Initiative","http://www.presidency.ucsb.edu/ws/index.php?pid=110527","2015","Obama","12881","","__computing__; __science/research__; __economy__; __technology__; __innovation__; __engineering__; __DOE__; __DOD__; __NSF__; __nuclear__; __security__; __NIST__; __NASA__; __NIH__; __DHS__; __NOAA__; __OSTP__; __OMB__; __NSTC__; __PCAST__; __budget__"
"13707","Using Behavioral Science Insights To Better Serve the American People","http://www.presidency.ucsb.edu/ws/index.php?pid=110815","2015","Obama","13563; 13610","","__science/research__; __economy__; __university__; __health__; __education__; __NSTC__; __OSTP__; __OMB__; __budget__"
"13689","Enhancing Coordination of National Efforts in the Arctic","http://www.presidency.ucsb.edu/ws/index.php?pid=109268","2015","Obama","","13754","__economy__; __energy__; __environment__; __science/research__; __OSTP__; __CEQ__; __NSC__; __State__; __HHS__; __security__; __EPA__; __NASA__; __NSF__; __OMB__; __budget__"
"13681","Improving the Security of Consumer Financial Transactions","http://www.presidency.ucsb.edu/ws/index.php?pid=107786","2014","Obama","","","__security__; __economy__; __innovation__; __technology__; __OMB__; __DOTr__; __computing__; __GSA__; __DOJ__; __DHS__; __DOC__; __NSC__; __OSTP__; __budget__"
