"Title","# EOs Mentioned","% S&T Words","Word Count"
"Award and Presentation of the National Medal of Science (Johnson, 11287)",24,2.6,1365
"Delegation of Authorities Relating to Energy Policy and Conservation (Ford, 11912)",7,2.3,1385
"Department of Energy (Carter, 12038)",7,4.4,1582
"Presidents Council of Advisors on Science and Technology (G. W. Bush, 13226)",6,6.3,494
"Tribal Colleges and Universities (G. W. Bush, 13270)",6,2.7,1496
"Activation of the Energy Resources Council (Ford, 11814)",5,3.8,532
"President's Committee of Advisors on Science and Technology (Clinton, 12882)",5,6.1,479
"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet (Clinton, 13035)",5,4.5,515
"Presidents Board of Advisors on Historically Black Colleges and Universities (G. W. Bush, 13256)",5,3.6,1256
"Energy Coordinating Committee (Carter, 12083)",4,2.5,529
