"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio","energy.flag","medical.flag"
"13256","Presidents Board of Advisors on Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=61353","2002",1256,"43-George W. Bush","R","__university__; __education__; __DOEd__; __technology__; __budget__; __OMB__; __economy__; __science/research__; __medical__; __GSA__",TRUE,0.035828025477707,TRUE,TRUE
"13179","Providing Compensation to Americas Nuclear Weapons Workers","http://www.presidency.ucsb.edu/ws/index.php?pid=61668","2000",2030,"42-William J. Clinton","D","__nuclear__; __energy__; __war__; __science/research__; __DOE__; __DOL__; __HHS__; __DOJ__; __health__; __OMB__; __economy__; __medical__; __budget__",TRUE,0.0231527093596059,TRUE,TRUE
"13316","Continuance of Certain Federal Advisory Committees","http://www.presidency.ucsb.edu/ws/index.php?pid=61411","2003",678,"43-George W. Bush","R","__DOI__; __DHS__; __health__; __DOL__; __university__; __DOEd__; __art__; __science/research__; __NSF__; __HHS__; __DOC__; __security__; __environment__; __GSA__; __education__; __medical__; __State__; __DOTr__; __USDA__; __DOE__",TRUE,0.0117994100294985,TRUE,TRUE
"12657","Federal Emergency Management Agency Assistance in Emergency Preparedness Planning at Commercial Nuclear Power Plants","http://www.presidency.ucsb.edu/ws/index.php?pid=35184","1988",1583,"40-Ronald Reagan","R","__nuclear__; __energy__; __NRC__; __OMB__; __economy__; __medical__",TRUE,0.00947567909033481,TRUE,TRUE
"13094","Proliferation of Weapons of Mass Destruction","http://www.presidency.ucsb.edu/ws/index.php?pid=56382","1998",800,"42-William J. Clinton","D","__economy__; __foreign__; __State__; __technology__; __DOTr__; __medical__; __nuclear__; __energy__",TRUE,0.00875,TRUE,TRUE
"12055","Export of Special Nuclear Material to India","http://www.presidency.ucsb.edu/ws/index.php?pid=30713","1978",136,"39-Jimmy Carter","D","__nuclear__; __energy__; __NRC__",TRUE,0.0514705882352941,TRUE,FALSE
"12344","Naval Nuclear Propulsion Program","http://www.presidency.ucsb.edu/ws/index.php?pid=42931","1982",937,"40-Ronald Reagan","R","__nuclear__; __security__; __DOE__; __DOD__; __science/research__; __environment__; __health__; __energy__",TRUE,0.0469583778014941,TRUE,FALSE
"12677","Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=23526","1989",1133,"41-George H. W. Bush","R","__university__; __education__; __DOEd__; __security__; __science/research__; __technology__; __DOL__; __GSA__",TRUE,0.0441306266548985,TRUE,FALSE
"12193","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=32920","1980",137,"39-Jimmy Carter","D","__nuclear__; __energy__; __security__",TRUE,0.0437956204379562,TRUE,FALSE
"12670","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=23523","1989",138,"41-George H. W. Bush","R","__nuclear__; __energy__; __security__",TRUE,0.0434782608695652,TRUE,FALSE
"12295","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=43458","1981",141,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0425531914893617,TRUE,FALSE
"12218","Export of Special Nuclear Material and Components to India","http://www.presidency.ucsb.edu/ws/index.php?pid=44613","1980",142,"39-Jimmy Carter","D","__nuclear__; __energy__; __NRC__; __security__",TRUE,0.0422535211267606,TRUE,FALSE
"11477","Authorizing the Atomic Energy Commission to Make Certain Awards Without the Approval of the President","http://www.presidency.ucsb.edu/ws/index.php?pid=59071","1969",144,"37-Richard Nixon","R","__AEC__; __nuclear__; __energy__",TRUE,0.0416666666666667,TRUE,FALSE
"12156","Federal Emergency Management Agency; Department of Energy","http://www.presidency.ucsb.edu/ws/index.php?pid=31311","1979",218,"39-Jimmy Carter","D","__DOE__; __energy__; __science/research__",TRUE,0.0412844036697248,TRUE,FALSE
"12409","Nuclear Cooperation with EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=41013","1983",146,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0410958904109589,TRUE,FALSE
"12463","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=39558","1984",147,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0408163265306122,TRUE,FALSE
"12506","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=38284","1985",148,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0405405405405405,TRUE,FALSE
"12554","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=36933","1986",149,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0402684563758389,TRUE,FALSE
"12587","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=33956","1987",150,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.04,TRUE,FALSE
"12232","Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=44892","1980",452,"39-Jimmy Carter","D","__university__; __education__; __DOEd__; __OMB__",TRUE,0.0398230088495575,TRUE,FALSE
"10956","Amendment of Executive Order No. 10841, Relating to International Cooperation Under the Atomic Energy Act of 1954, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=58894","1961",152,"35-John F. Kennedy","D","__nuclear__; __energy__",TRUE,0.0394736842105263,TRUE,FALSE
"12706","Nuclear Cooperation with EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=23551","1990",155,"41-George H. W. Bush","R","__nuclear__; __energy__; __security__",TRUE,0.0387096774193548,TRUE,FALSE
"12753","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=23592","1991",157,"41-George H. W. Bush","R","__nuclear__; __energy__; __security__",TRUE,0.0382165605095541,TRUE,FALSE
"12791","Nuclear Cooperation With Euratom","http://www.presidency.ucsb.edu/ws/index.php?pid=23613","1992",158,"41-George H. W. Bush","R","__nuclear__; __energy__; __security__",TRUE,0.0379746835443038,TRUE,FALSE
"12840","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=61536","1993",161,"42-William J. Clinton","D","__nuclear__; __energy__; __security__",TRUE,0.0372670807453416,TRUE,FALSE
"12351","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=42246","1982",164,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0365853658536585,TRUE,FALSE
"12876","Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=61569","1993",1288,"42-William J. Clinton","D","__university__; __education__; __DOEd__; __technology__; __GSA__; __OMB__; __science/research__; __security__; __DOL__",TRUE,0.0364906832298137,TRUE,FALSE
"12629","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=35529","1988",167,"40-Ronald Reagan","R","__nuclear__; __energy__; __security__",TRUE,0.0359281437125748,TRUE,FALSE
"12009","Department of Energy","http://www.presidency.ucsb.edu/ws/index.php?pid=6624","1977",228,"39-Jimmy Carter","D","__DOE__; __OMB__; __energy__",TRUE,0.0350877192982456,TRUE,FALSE
"12903","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=49782","1994",175,"42-William J. Clinton","D","__nuclear__; __energy__; __security__",TRUE,0.0342857142857143,TRUE,FALSE
"12955","Nuclear Cooperation With EURATOM","http://www.presidency.ucsb.edu/ws/index.php?pid=51080","1995",177,"42-William J. Clinton","D","__nuclear__; __energy__; __security__",TRUE,0.0338983050847458,TRUE,FALSE
"12320","Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=44253","1981",669,"40-Ronald Reagan","R","__university__; __education__; __DOEd__; __HHS__; __HUD__; __DOJ__; __science/research__",TRUE,0.0328849028400598,TRUE,FALSE
"9816","Providing the Transfer of Properties and Personnel to the Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=59306","1946",792,"33-Harry S. Truman","D","__AEC__; __nuclear__; __energy__; __science/research__; __engineering__; __DOD__; __war__; __OMB__",TRUE,0.0315656565656566,TRUE,FALSE
"13270","Tribal Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=61366","2002",1492,"43-George W. Bush","R","__university__; __education__; __economy__; __innovation__; __DOEd__; __health__; __security__; __technology__; __budget__; __OMB__; __GSA__",TRUE,0.0274798927613941,TRUE,FALSE
"13021","Tribal Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=52138","1996",1562,"42-William J. Clinton","D","__university__; __education__; __economy__; __innovation__; __DOEd__; __GSA__; __health__; __security__; __technology__; __computing__; __OMB__",TRUE,0.0249679897567221,TRUE,FALSE
"11902","Procedures for an Export Licensing Policy as to Nuclear Materials and Equipment","http://www.presidency.ucsb.edu/ws/index.php?pid=23674","1976",723,"38-Gerald R. Ford","R","__nuclear__; __energy__; __NRC__; __AEC__; __foreign__; __security__; __State__; __DOD__; __DOC__; __ERDA__; __NSC__",TRUE,0.024896265560166,TRUE,FALSE
"10751","Amendment of Executive Order No. 10127, Establishing Airspace Reservations Over Certain Facilities of the United States Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=60623","1958",163,"34-Dwight D. Eisenhower","R","__AEC__; __engineering__",TRUE,0.0245398773006135,TRUE,FALSE
"13011","Federal Information Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=53073","1996",2663,"42-William J. Clinton","D","__technology__; __budget__; __innovation__; __security__; __OMB__; __State__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __HHS__; __HUD__; __DOT__; __DOE__; __DOEd__; __VA__; __EPA__; __CIA__; __NASA__; __GSA__; __NSF__; __NRC__; __OSTP__; __NIST__; __computing__; __environment__; __health__; __foreign__",TRUE,0.0225309800976342,TRUE,FALSE
"13398","National Mathematics Advisory Panel","http://www.presidency.ucsb.edu/ws/index.php?pid=72419","2006",939,"43-George W. Bush","R","__math__; __innovation__; __economy__; __education__; __DOEd__; __science/research__; __GSA__",TRUE,0.0223642172523962,TRUE,FALSE
"12058","Nuclear Non-Proliferation","http://www.presidency.ucsb.edu/ws/index.php?pid=30784","1978",582,"39-Jimmy Carter","D","__nuclear__; __energy__; __DOE__; __State__; __DOC__",TRUE,0.0223367697594502,TRUE,FALSE
"10710","Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Operations of Atomic Energy Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=106332","1957",228,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __AEC__; __foreign__",TRUE,0.0219298245614035,TRUE,FALSE
"12202","Nuclear Safety Oversight Committee","http://www.presidency.ucsb.edu/ws/index.php?pid=33156","1980",969,"39-Jimmy Carter","D","__nuclear__; __DOE__; __health__; __education__; __NRC__; __science/research__; __GSA__",TRUE,0.021671826625387,TRUE,FALSE
"10734","Amendment of Executive Order No. 10657, Relating to the Transfer to the Housing and Home Finance Administrator of Certain Functions Under the Atomic Energy Community Act of 1955","http://www.presidency.ucsb.edu/ws/index.php?pid=60621","1957",324,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __AEC__",TRUE,0.0216049382716049,TRUE,FALSE
"13133","Working Group on Unlawful Conduct on the Internet","http://www.presidency.ucsb.edu/ws/index.php?pid=58014","1999",476,"42-William J. Clinton","D","__computing__; __technology__; __education__; __OMB__; __DOJ__; __DOTr__; __DOC__; __DOEd__",TRUE,0.0210084033613445,TRUE,FALSE
"10216","Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Department of Agriculture, the Atomic Energy Commission, the National Advisory Committee for Aeronautics, and the Government Printing Office","http://www.presidency.ucsb.edu/ws/index.php?pid=60789","1951",290,"33-Harry S. Truman","D","__USDA__; __AEC__; __NASA__; __war__; __DOD__; __DOC__",TRUE,0.0206896551724138,TRUE,FALSE
"13458","Implementation of the Protocol Additional to the Agreement Between the United States and the International Atomic Energy Agency for the Application of Safeguards in the United States of America","http://www.presidency.ucsb.edu/ws/index.php?pid=76485","2008",388,"43-George W. Bush","R","__nuclear__; __energy__; __State__; __DOJ__; __NRC__; __DOC__; __war__",TRUE,0.0206185567010309,TRUE,FALSE
"12997","Korean Peninsula Energy Development Organization","http://www.presidency.ucsb.edu/ws/index.php?pid=52615","1996",148,"42-William J. Clinton","D","__energy__",TRUE,0.0202702702702703,TRUE,FALSE
"12665","Amending Executive Order No. 12658, President's Commission on Catastrophic Nuclear Accidents","http://www.presidency.ucsb.edu/ws/index.php?pid=35366","1989",100,"40-Ronald Reagan","R","__nuclear__",TRUE,0.02,TRUE,FALSE
"11057","Authorization for the Communication of Restricted Data by the Department of State","http://www.presidency.ucsb.edu/ws/index.php?pid=58996","1962",254,"35-John F. Kennedy","D","__State__; __nuclear__; __energy__; __AEC__; __DOD__",TRUE,0.0196850393700787,TRUE,FALSE
"10899","Authorization for the Communication of Restricted Data by the Central Intelligence Agency","http://www.presidency.ucsb.edu/ws/index.php?pid=59288","1960",262,"34-Dwight D. Eisenhower","R","__CIA__; __nuclear__; __energy__; __AEC__; __DOD__",TRUE,0.0190839694656489,TRUE,FALSE
"9829","Extension of the Provisions of Executive Order 9177 of May 30, 1942, to the United States Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=78087","1947",158,"33-Harry S. Truman","D","__AEC__; __war__; __DOTr__; __USDA__",TRUE,0.0189873417721519,TRUE,FALSE
"12192","State Planning Council on Radioactive Waste Management","http://www.presidency.ucsb.edu/ws/index.php?pid=32917","1980",714,"39-Jimmy Carter","D","__DOI__; __DOT__; __DOE__; __EPA__; __NRC__; __nuclear__; __GSA__",TRUE,0.0182072829131653,TRUE,FALSE
"12287","Decontrol of Crude Oil and Refined Petroleum Products","http://www.presidency.ucsb.edu/ws/index.php?pid=43901","1981",487,"40-Ronald Reagan","R","__DOE__; __energy__; __economy__",TRUE,0.0164271047227926,TRUE,FALSE
"13500","Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council","http://www.presidency.ucsb.edu/ws/index.php?pid=85750","2009",184,"44-Barack Obama","D","__energy__; __technology__; __OSTP__",TRUE,0.016304347826087,TRUE,FALSE
"13596","Amendments to Executive Orders 12131 and 13539","http://www.presidency.ucsb.edu/ws/index.php?pid=97994","2011",394,"44-Barack Obama","D","__State__; __DOTr__; __USDA__; __DOC__; __DOL__; __DOE__; __DOT__; __DHS__; __economy__; __OMB__; __security__; __PCAST__; __GSA__",TRUE,0.0152284263959391,TRUE,FALSE
"11918","Compensation for Damages Involving Nuclear Reactors of United States Warships","http://www.presidency.ucsb.edu/ws/index.php?pid=59202","1976",333,"38-Gerald R. Ford","R","__nuclear__; __war__; __DOD__; __OMB__; __DOJ__; __State__; __foreign__",TRUE,0.015015015015015,TRUE,FALSE
"13499","Further Amendments to Executive Order 12835, Establishment of the National Economic Council","http://www.presidency.ucsb.edu/ws/index.php?pid=85749","2009",134,"44-Barack Obama","D","__economy__; __HHS__; __DOEd__; __energy__; __technology__; __DHS__",TRUE,0.0149253731343284,TRUE,FALSE
"13691","Promoting Private Sector Cybersecurity Information Sharing","http://www.presidency.ucsb.edu/ws/index.php?pid=109407","2015",2316,"44-Barack Obama","D","__computing__; __security__; __health__; __economy__; __NSC__; __DHS__; __OMB__; __NIST__; __DOC__; __DOJ__; __technology__; __nuclear__; __energy__; __DOE__; __NRC__; __DOD__; __CIA__; __budget__",TRUE,0.0146804835924007,TRUE,FALSE
