"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio"
"13185","To Strengthen the Federal Government-University Research Partnership","http://www.presidency.ucsb.edu/ws/index.php?pid=61674","2000",557,"42-William J. Clinton","D","__university__; __science/research__; __technology__; __innovation__; __education__; __engineering__; __economy__; __security__; __NSTC__; __OSTP__; __PCAST__; __health__",TRUE,0.0843806104129264
"10727","Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","http://www.presidency.ucsb.edu/ws/index.php?pid=106339","1957",208,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__",TRUE,0.0817307692307692
"13539","President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=87787","2010",892,"44-Barack Obama","D","__PCAST__; __science/research__; __technology__; __innovation__; __economy__; __energy__; __environment__; __health__; __security__; __university__; __computing__; __NSTC__; __OSTP__; __GSA__; __OMB__; __budget__",TRUE,0.070627802690583
"12882","President's Committee of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61575","1993",479,"42-William J. Clinton","D","__PCAST__; __science/research__; __technology__; __NSTC__; __OSTP__; __GSA__",TRUE,0.0668058455114822
"10521","Administration of Scientific Research by Agencies of the Federal Government","http://www.presidency.ucsb.edu/ws/index.php?pid=59228","1954",914,"34-Dwight D. Eisenhower","R","__science/research__; __security__; __education__; __economy__; __NSF__; __health__; __budget__",TRUE,0.0645514223194748
"13226","Presidents Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61507","2001",493,"43-George W. Bush","R","__PCAST__; __science/research__; __technology__; __NSTC__; __OSTP__; __GSA__",TRUE,0.0628803245436105
"11915","Abolishing the Energy Research and Development Advisory Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23655","1976",67,"38-Gerald R. Ford","R","__energy__; __science/research__",TRUE,0.0597014925373134
"13349","Amending Executive Order 13226 To Designate the Presidents Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel","http://www.presidency.ucsb.edu/ws/index.php?pid=61443","2004",171,"43-George W. Bush","R","__PCAST__; __technology__; __science/research__",TRUE,0.0584795321637427
"13505","Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","http://www.presidency.ucsb.edu/ws/index.php?pid=85830","2009",467,"44-Barack Obama","D","__science/research__; __HHS__; __NIH__; __OMB__; __budget__",TRUE,0.0556745182012848
"12845","Requiring Agencies To Purchase Energy Efficient Computer Equipment","http://www.presidency.ucsb.edu/ws/index.php?pid=61541","1993",542,"42-William J. Clinton","D","__energy__; __computing__; __technology__; __EPA__; __economy__; __environment__; __GSA__",TRUE,0.0553505535055351
"12591","Facilitating Access to Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=34111","1987",1392,"40-Ronald Reagan","R","__science/research__; __technology__; __university__; __computing__; __engineering__; __USDA__; __energy__; __HHS__; __NASA__; __economy__; __budget__; __foreign__; __security__; __State__; __NSF__; __DOD__; __OSTP__",TRUE,0.055316091954023
"11953","Assigning Emergency Preparedness Functions to the Energy Research and Development Administration and Nuclear Regulatory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=23763","1977",1391,"38-Gerald R. Ford","R","__ERDA__; __NRC__; __security__; __AEC__; __nuclear__; __energy__; __GSA__; __DOD__; __health__; __environment__; __technology__; __science/research__; __engineering__; __foreign__; __DOC__; __State__",TRUE,0.0546369518332135
"11712","Special Committee on Energy and National Energy Office","http://www.presidency.ucsb.edu/ws/index.php?pid=106753","1973",478,"37-Richard Nixon","R","__energy__; __environment__; __science/research__; __technology__; __OMB__",TRUE,0.0543933054393305
"13092","President's Information Technology Advisory Committee, Amendments to Executive Order 13035","http://www.presidency.ucsb.edu/ws/index.php?pid=56356","1998",170,"42-William J. Clinton","D","__technology__; __computing__",TRUE,0.0529411764705882
"12039","Science and Technology Policy Functions","http://www.presidency.ucsb.edu/ws/index.php?pid=30416","1978",919,"39-Jimmy Carter","D","__technology__; __science/research__; __budget__; __OSTP__; __NSF__; __engineering__; __OMB__",TRUE,0.0522306855277476
"13123","Greening the Government Through Efficient Energy Management","http://www.presidency.ucsb.edu/ws/index.php?pid=57665","1999",5340,"42-William J. Clinton","D","__energy__; __technology__; __OMB__; __DOE__; __budget__; __innovation__; __environment__; __GSA__; __DOD__; __security__; __EPA__; __economy__; __education__; __university__; __science/research__; __computing__",TRUE,0.047940074906367
"11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","http://www.presidency.ucsb.edu/ws/index.php?pid=23933","1975",170,"38-Gerald R. Ford","R","__security__; __energy__; __AEC__; __ERDA__; __NRC__",TRUE,0.0470588235294118
